rebalance_date,AAPL,AMZN,AXP,CLNE,CMCSA,CRM,CRWD,DBX,DIS,GOOGL,IBKR,MORN,MSFT,NFLX,NVDA,PANW,PYPL,QCOM,RBLX,T,V,WBD
2019-11-29,0.26612890756076085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05546710439765511,0.045656694009155736,0.0,0.06762239891552309,0.14950344285932024,0.0,0.10744353206560948,0.01642604627894841,0.0,0.03527294612853897,0.0,0.14822593044219373,0.06156431768391262,0.046688679658381825
2019-12-31,0.3016162688874398,0.0,0.0,0.0,4.179190778338564e-05,0.03067724542456756,0.0,0.0,0.0,0.11747411689610905,0.0,0.0,0.17924268670650456,0.0,0.11430690125230128,0.026071251616400927,0.0,0.0012782586116930831,0.0,0.1796936285167396,0.039958181331199195,0.009639668849261705
2020-01-31,0.3496636985432766,0.0,0.0,0.0,0.0,0.11174060716977452,0.0,0.0,0.0,0.09140540489367699,0.0,0.0,0.19713238408029732,0.0007800568722517248,0.09413189041210136,0.0,0.0,0.0,0.0,0.08801743727725898,0.06712852075136243,0.0
2020-02-28,0.2909835109021086,0.00527067147910339,0.0,0.005248605731148949,0.0,0.10160743985856836,0.0,0.0408067351748242,0.0,0.044577111320134574,0.03687667570462704,0.0,0.12208832926888982,0.08524671449521232,0.20565098464724169,0.0,0.0,0.0,0.0,0.0616432214181412,0.0,0.0
2020-03-31,0.21985812156088613,0.12158173338117166,0.0,0.0171073814817444,0.0,0.0,0.0,0.00880525494139281,0.0,0.0,0.0,0.0,0.14454739496804167,0.20625764818081346,0.2466187176147031,0.0,0.0,0.0,0.0,0.0,0.035223747871246776,0.0
2020-04-30,0.13296608735026355,0.23776593479215766,0.0,0.024149446814296944,0.0,0.0,0.06247097874472843,0.015638171262538234,0.0,0.0,0.0,0.0,0.10009856699819296,0.14467979609790346,0.1447219966638896,0.0,0.06296641823648845,0.0,0.0,0.0,0.04109887123954243,0.033443731799998426
2020-05-29,0.1244185969807494,0.23819401849587513,0.0029994826231226775,0.033695620299702154,0.0,0.0,0.05645564735583637,0.05997197624370506,0.0,0.0,0.0,0.0,0.04543226422159594,0.06185618789043465,0.18191250428345743,0.0,0.14661106460763135,0.0,0.0,0.0,0.04845263699788987,0.0
2020-06-30,0.1202740655617398,0.27553519155071227,0.0023621972770363105,0.01265774815404946,0.0,0.0,0.14479586275932058,0.04673634655301215,0.0,0.0,0.0034183189043927456,0.0,0.04917941463084576,0.03834866873224265,0.11946888492433859,0.0,0.17780795760181564,0.0,0.0,0.0,0.009415343350494243,0.0
2020-07-31,0.06198278189459824,0.30167962367430845,0.0,0.012115711560232549,0.0,0.0,0.096274858935941,0.06322208202226212,0.0,0.0,0.06120460395844412,0.0,0.0,0.031098850798843152,0.1544927775705255,0.0,0.19003267265820303,0.02789603692664192,0.0,0.0,0.0,0.0
2020-08-31,0.2307790607094396,0.29839987262328627,0.0,0.006554303525691888,0.0,0.04191169803022338,0.1055032045485646,0.0,0.002941866506092527,0.0,0.0,0.0,0.0,0.0,0.11955205441281186,0.0,0.1272357568177666,0.056799758758929744,0.0,0.0,0.0,0.010322424067193515
